"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ITS_SV422","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Thyrostroma",NA
"ITS_SV423","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus",NA
"ITS_SV424","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__brachygibbosum"
"ITS_SV425","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Neocamarosporiaceae","g__Neocamarosporium",NA
"ITS_SV426","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__albida"
"ITS_SV427","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Coniosporium","s__apollinis"
"ITS_SV428","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Constantinomyces","s__oldenburgensis"
"ITS_SV429","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ITS_SV430","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Psoraceae","g__Psora","s__decipiens"
"ITS_SV431","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Acarosporales","f__Acarosporaceae",NA,NA
"ITS_SV432","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ITS_SV433","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Rachicladosporium",NA
"ITS_SV434","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae",NA,NA
"ITS_SV435","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ITS_SV436","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ITS_SV437","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Scleropezicula",NA
"ITS_SV438","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Neocamarosporiaceae","g__Neocamarosporium",NA
"ITS_SV439","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Pseudocercospora",NA
"ITS_SV440","k__Fungi",NA,NA,NA,NA,NA,NA
"ITS_SV441","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Westerdykella",NA
"ITS_SV442","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Lapidomyces","s__stipagrostidicola"
"ITS_SV443","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomyces",NA
"ITS_SV444","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ITS_SV445","k__Fungi",NA,NA,NA,NA,NA,NA
"ITS_SV446","k__Fungi",NA,NA,NA,NA,NA,NA
"ITS_SV447","k__Fungi",NA,NA,NA,NA,NA,NA
"ITS_SV448","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Comoclathris",NA
"ITS_SV449","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__persica"
"ITS_SV450","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Verrucocladosporium","s__dirinae"
"ITS_SV451","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA
"ITS_SV452","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Pholiota","s__adiposa"
"ITS_SV453","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Pseudotricharina","s__intermedia"
"ITS_SV454","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Savoryellales",NA,NA,NA
